Freq[Hz]     dBSPL  Phase[Deg]
538.174     86.746     4.515
546.002     86.783     4.160
553.943     86.818     3.751
562.001     86.839     3.292
570.175     86.826     2.813
578.469     86.780     2.367
586.883     86.712     2.012
595.419     86.640     1.776
604.080     86.561     1.668
612.866     86.480     1.690
621.780     86.402     1.826
630.824     86.337     2.047
640.000     86.293     2.318
649.309     86.265     2.602
658.753     86.235     2.894
668.335     86.197     3.211
678.056     86.160     3.563
687.919     86.128     3.960
697.925     86.114     4.395
708.077     86.112     4.835
718.376     86.111     5.269
728.825     86.111     5.705
739.426     86.111     6.162
750.181     86.112     6.659
761.093     86.114     7.214
772.163     86.128     7.828
783.394     86.163     8.479
794.789     86.215     9.146
806.349     86.296     9.789
818.078     86.400    10.347
829.977     86.522    10.790
842.050     86.659    11.094
854.298     86.796    11.256
866.724     86.916    11.315
879.330     87.026    11.308
892.120     87.136    11.241
905.097     87.255    11.100
918.262     87.389    10.848
931.618     87.528    10.439
945.169     87.649     9.876
958.917     87.735     9.215
972.864     87.787     8.508
987.015     87.808     7.806
1001.37     87.825     7.122
1015.94     87.844     6.434
1030.71     87.845     5.743
1045.71     87.828     5.057
1060.92     87.766     4.417
1076.35     87.670     3.907
1092.00     87.560     3.572
1107.89     87.448     3.419
1124.00     87.340     3.456
1140.35     87.242     3.666
1156.94     87.157     4.012
1173.77     87.090     4.462
1190.84     87.045     5.000
1208.16     87.015     5.615
1225.73     87.000     6.289
1243.56     87.006     6.991
1261.65     87.039     7.702
1280.00     87.115     8.368
1298.62     87.205     8.944
1317.51     87.300     9.441
1336.67     87.407     9.846
1356.11     87.520    10.160
1375.84     87.650    10.388
1395.85     87.794    10.497
1416.15     87.941    10.468
1436.75     88.088    10.298
1457.65     88.233     9.988
1478.85     88.367     9.556
1500.36     88.483     9.023
1522.19     88.591     8.395
1544.33     88.689     7.670
1566.79     88.773     6.867
1589.58     88.837     6.003
1612.70     88.873     5.095
1636.16     88.878     4.181
1659.95     88.856     3.318
1684.10     88.815     2.533
1708.60     88.756     1.842
1733.45     88.683     1.264
1758.66     88.608     0.802
1784.24     88.517     0.478
1810.19     88.425     0.307
1836.52     88.333     0.288
1863.24     88.245     0.440
1890.34     88.188     0.730
1917.83     88.162     1.084
1945.73     88.173     1.442
1974.03     88.207     1.753
2002.74     88.256     1.990
2031.87     88.310     2.138
2061.43     88.365     2.211
2091.41     88.433     2.218
2121.83     88.505     2.147
2152.69     88.578     1.993
2184.01     88.652     1.753
2215.77     88.724     1.428
2248.00     88.791     1.029
2280.70     88.841     0.582
2313.87     88.879     0.113
2347.53     88.913    -0.384
2381.68     88.953    -0.921
2416.32     88.990    -1.505
2451.46     89.023    -2.146
2487.12     89.037    -2.846
2523.30     89.024    -3.562
2560.00     88.990    -4.248
2597.24     88.951    -4.900
2635.01     88.898    -5.510
2673.34     88.833    -6.046
2712.23     88.758    -6.501
2751.68     88.670    -6.866
2791.70     88.570    -7.101
2832.31     88.473    -7.180
2873.50     88.390    -7.126
2915.30     88.324    -6.971
2957.70     88.288    -6.756
3000.72     88.283    -6.546
3044.37     88.305    -6.411
3088.65     88.341    -6.391
3133.58     88.378    -6.476
3179.16     88.410    -6.654
3225.40     88.428    -6.908
3272.31     88.450    -7.238
3319.91     88.486    -7.681
3368.20     88.520    -8.257
3417.19     88.537    -8.964
3466.89     88.503    -9.752
3517.32     88.417   -10.523
3568.48     88.284   -11.169
3620.39     88.113   -11.587
3673.05     87.931   -11.726
3726.47     87.753   -11.592
3780.67     87.601   -11.214
3835.67     87.483   -10.652
3891.46     87.391    -9.957
3948.06     87.319    -9.153
4005.49     87.271    -8.260
4063.75     87.266    -7.327
4122.86     87.315    -6.437
4182.82     87.413    -5.680
4243.66     87.545    -5.138
4305.39     87.690    -4.865
4368.01     87.835    -4.868
4431.55     87.975    -5.128
4496.01     88.081    -5.589
4561.40     88.134    -6.140
4627.75     88.150    -6.707
4695.06     88.119    -7.210
4763.35     88.069    -7.562
4832.64     88.027    -7.769
4902.93     87.976    -7.846
4974.24     87.924    -7.770
5046.60     87.881    -7.554
5120.00     87.843    -7.198
5194.47     87.821    -6.681
5270.03     87.826    -6.019
5346.68     87.874    -5.272
5424.45     87.986    -4.554
5503.35     88.169    -4.020
5583.40     88.411    -3.807
5664.61     88.676    -4.006
5747.01     88.911    -4.590
5830.60     89.094    -5.448
5915.41     89.224    -6.467
6001.45     89.297    -7.521
6088.74     89.355    -8.538
6177.30     89.408    -9.525
6267.15     89.447   -10.474
6358.31     89.484   -11.389
6450.80     89.502   -12.284
6544.62     89.506   -13.126
6639.82     89.506   -13.892
6736.40     89.509   -14.583
6834.38     89.523   -15.223
6933.79     89.567   -15.881
7034.64     89.644   -16.648
7136.96     89.747   -17.609
7240.77     89.854   -18.824
7346.09     89.941   -20.311
7452.94     89.981   -22.019
7561.35     89.955   -23.829
7671.33     89.855   -25.604
7782.91     89.675   -27.190
7896.12     89.442   -28.447
8010.97     89.194   -29.308
8127.49     88.981   -29.813
8245.71     88.837   -30.098
8365.65     88.762   -30.341
8487.33     88.739   -30.713
8610.78     88.734   -31.326
8736.03     88.728   -32.210
8863.09     88.695   -33.323
8992.01     88.602   -34.549
9122.80     88.441   -35.752
9255.50     88.210   -36.791
9390.12     87.934   -37.528
9526.70     87.656   -37.896
9665.27     87.407   -37.937
9805.86     87.211   -37.760
9948.49     87.069   -37.497
10093.2     86.972   -37.263
10240.0     86.895   -37.139
10388.9     86.819   -37.137
10540.1     86.741   -37.232
10693.4     86.645   -37.368
10848.9     86.533   -37.489
11006.7     86.405   -37.554
11166.8     86.279   -37.537
11329.2     86.168   -37.446
11494.0     86.061   -37.282
11661.2     85.969   -37.065
11830.8     85.891   -36.845
12002.9     85.831   -36.640
12177.5     85.792   -36.467
12354.6     85.756   -36.341
12534.3     85.718   -36.261
12716.6     85.681   -36.222
12901.6     85.657   -36.218
13089.2     85.650   -36.277
13279.6     85.648   -36.433
13472.8     85.647   -36.698
13668.8     85.638   -37.067
13867.6     85.613   -37.505
14069.3     85.570   -37.975
14273.9     85.511   -38.454
14481.5     85.443   -38.921
14692.2     85.387   -39.393
14905.9     85.329   -39.891
15122.7     85.257   -40.396
15342.7     85.179   -40.917
15565.8     85.089   -41.462
15792.2     84.998   -42.021
16021.9     84.922   -42.626
16255.0     84.830   -43.298
16491.4     84.711   -44.003
16731.3     84.557   -44.697
16974.7     84.377   -45.338
17221.6     84.181   -45.890
17472.1     83.971   -46.323
17726.2     83.752   -46.629
17984.0     83.519   -46.815
18245.6     83.273   -46.850
18511.0     83.020   -46.690
18780.2     82.763   -46.317
19053.4     82.511   -45.724
19330.5     82.282   -44.928
19611.7     82.092   -43.978
19897.0     81.949   -42.959
20186.4     81.838   -41.954
20480.0     81.747   -40.990
20777.9     81.674   -40.088
21080.1     81.600   -39.234
21386.7     81.542   -38.418
21697.8     81.487   -37.632
22013.4     81.432   -36.823
22333.6     81.380   -35.968
22658.4     81.327   -35.043
22988.0     81.314   -34.069
23322.4     81.354   -33.152
23661.6     81.447   -32.404
24005.8     81.577   -31.942
24355.0     81.709   -31.819
24709.2     81.816   -31.997
25068.6     81.880   -32.394
25433.2     81.893   -32.907
25803.2     81.862   -33.438
26178.5     81.797   -33.911
26559.3     81.704   -34.263
26945.6     81.596   -34.460
27337.5     81.484   -34.513
27735.2     81.378   -34.438
28138.6     81.287   -34.253
28547.9     81.213   -34.003
28963.1     81.139   -33.707
29384.4     81.084   -33.386
29811.8     81.044   -33.079
30245.4     81.024   -32.812
30685.3     81.019   -32.629
31131.7     81.018   -32.567
