* This data was exported from the Dayton Audio Test System: DATS
*
D    	120	[mm]
Re   	1.086	[Ohms]
Fs   	55.04	[Hz]
Zm   	13.12	[Ohms]
BL   	3.707	[N/A]
Qms  	6.171
Qes  	0.5573
Qts  	0.5112
Vas  	7.368 	[liters]
L10k 	0.09219	[mH]
n0   	0.2102	[%]
dBSPL  	85.33	[1W/1m]
Ms   	20.39	[grams]
Cms  	0.41	[mm/N]
*
*
Freq            Impedance       Phase
1625.499    	2.762    	40.971    
1673.129    	2.806    	41.234    
1722.156    	2.854    	41.491    
1772.619    	2.906    	41.686    
1824.561    	2.953    	41.847    
1878.024    	2.999    	42.130    
1933.055    	3.050    	42.406    
1989.697    	3.100    	42.680    
2048.000    	3.146    	42.885    
2108.011    	3.201    	43.183    
2169.780    	3.255    	43.481    
2233.360    	3.316    	43.705    
2298.802    	3.376    	43.892    
2366.162    	3.435    	44.086    
2435.496    	3.496    	44.277    
2506.862    	3.557    	44.427    
2580.318    	3.617    	44.550    
2655.927    	3.679    	44.736    
2733.752    	3.742    	44.896    
2813.857    	3.804    	45.091    
2896.309    	3.871    	45.331    
2981.178    	3.936    	45.532    
3068.533    	4.013    	45.657    
3158.448    	4.085    	45.792    
3250.997    	4.160    	45.918    
3346.259    	4.232    	45.997    
3444.312    	4.309    	46.164    
3545.238    	4.385    	46.283    
3649.121    	4.468    	46.381    
3756.049    	4.551    	46.462    
3866.109    	4.638    	46.537    
3979.395    	4.720    	46.636    
4096.000    	4.819    	46.702    
4216.022    	4.918    	46.584    
4339.561    	5.018    	46.192    
4466.720    	5.070    	45.620    
4597.605    	5.096    	45.703    
4732.325    	5.160    	46.077    
4870.992    	5.248    	46.328    
5013.723    	5.339    	46.435    
5160.637    	5.423    	46.423    
5311.855    	5.501    	46.538    
5467.504    	5.590    	46.718    
5627.714    	5.676    	46.883    
5792.619    	5.777    	47.008    
5962.355    	5.878    	47.092    
6137.066    	5.980    	47.149    
6316.896    	6.081    	47.183    
6501.995    	6.185    	47.221    
6692.518    	6.288    	47.274    
6888.623    	6.393    	47.313    
7090.476    	6.497    	47.346    
7298.242    	6.608    	47.383    
7512.097    	6.720    	47.392    
7732.218    	6.829    	47.410    
7958.790    	6.944    	47.445    
8192.000    	7.057    	47.451    
8432.044    	7.172    	47.456    
8679.122    	7.288    	47.453    
8933.439    	7.409    	47.468    
9195.209    	7.527    	47.480    
9464.649    	7.649    	47.483    
9741.985    	7.771    	47.470    
10027.447    	7.892    	47.451    
10321.273    	8.017    	47.468    
10623.710    	8.145    	47.457    
10935.008    	8.272    	47.449    
11255.428    	8.398    	47.431    
11585.238    	8.529    	47.432    
11924.711    	8.658    	47.448    
12274.132    	8.788    	47.441    
12633.791    	8.924    	47.454    
13003.989    	9.059    	47.466    
13385.035    	9.199    	47.496    
13777.247    	9.337    	47.487    
14180.951    	9.478    	47.509    
14596.485    	9.623    	47.518    
15024.194    	9.766    	47.552    
15464.437    	9.919    	47.580    
15917.579    	10.061    	47.601    
16384.000    	10.213    	47.609    
16864.088    	10.362    	47.644    
17358.243    	10.509    	47.660    
17866.879    	10.662    	47.701    
18390.418    	10.807    	47.751    
18929.299    	10.951    	47.834    
19483.969    	11.092    	47.889    
20054.893    	11.231    	47.994    
20642.546    	11.364    	48.143    
