Freq[Hz]      Mag   Phase[Deg]
9948.49      0.000     0.000
10093.2      0.000     0.000
10240.0      0.000     0.000
10388.9      0.000     0.000
10540.1      0.000     0.000
10693.4      0.000     0.000
10848.9      0.000     0.000
11006.7      0.000     0.000
11166.8      0.000     0.000
11329.2      0.000     0.000
11494.0      0.000     0.000
11661.2      0.000     0.000
11830.8      0.000     0.000
12002.9      0.000     0.000
12177.5      0.000     0.000
12354.6      0.000     0.000
12534.3      0.000     0.000
12716.6      0.000     0.000
12901.6      0.000     0.000
13089.2      0.000     0.000
13279.6      0.000     0.000
13472.8      0.000     0.000
13668.8      0.000     0.000
13867.6      0.000     0.000
14069.3      0.000     0.000
14273.9      0.000     0.000
14481.5      0.000     0.000
14692.2      0.000     0.000
14905.9      0.000     0.000
15122.7      0.000     0.000
15342.7      0.000     0.000
15565.8      0.000     0.000
15792.2      0.000     0.000
16021.9      0.000     0.000
16255.0      0.000     0.000
16491.4      0.000     0.000
16731.3      0.000     0.000
16974.7      0.000     0.000
17221.6      0.000     0.000
17472.1      0.000     0.000
17726.2      0.000     0.000
17984.0      0.000     0.000
18245.6      0.000     0.000
18511.0      0.000     0.000
18780.2      0.000     0.000
19053.4      0.000     0.000
19330.5      0.000     0.000
19611.7      0.000     0.000
19897.0      0.000     0.000
20186.4      0.000     0.000
20480.0      0.000     0.000
20777.9      0.000     0.000
21080.1      0.000     0.000
21386.7      0.000     0.000
21697.8      0.000     0.000
22013.4      0.000     0.000
22333.6      0.000     0.000
22658.4      0.000     0.000
22988.0      0.000     0.000
23322.4      0.000     0.000
23661.6      0.000     0.000
24005.8      0.000     0.000
24355.0      0.000     0.000
24709.2      0.000     0.000
25068.6      0.000     0.000
25433.2      0.000     0.000
25803.2      0.000     0.000
26178.5      0.000     0.000
26559.3      0.000     0.000
26945.6      0.000     0.000
27337.5      0.000     0.000
27735.2      0.000     0.000
28138.6      0.000     0.000
28547.9      0.000     0.000
28963.1      0.000     0.000
29384.4      0.000     0.000
29811.8      0.000     0.000
30245.4      0.000     0.000
30685.3      0.000     0.000
31131.7      0.000     0.000
31584.5      0.000     0.000
32043.9      0.000     0.000
32510.0      0.000     0.000
32982.8      0.000     0.000
33462.6      0.000     0.000
33949.3      0.000     0.000
34443.1      0.000     0.000
34944.1      0.000     0.000
35452.4      0.000     0.000
35968.0      0.000     0.000
36491.2      0.000     0.000
37022.0      0.000     0.000
37560.5      0.000     0.000
38106.8      0.000     0.000
38661.1      0.000     0.000
39223.4      0.000     0.000
39793.9      0.000     0.000
