Freq[Hz]     dBSPL  Phase[Deg]
2673.34     87.082     4.774
2712.23     87.054     4.419
2751.68     87.019     4.144
2791.70     86.972     3.976
2832.31     86.924     3.950
2873.50     86.905     4.022
2915.30     86.911     4.125
2957.70     86.949     4.203
3000.72     87.018     4.175
3044.37     87.088     3.999
3088.65     87.149     3.691
3133.58     87.193     3.286
3179.16     87.219     2.825
3225.40     87.229     2.341
3272.31     87.231     1.847
3319.91     87.230     1.340
3368.20     87.224     0.813
3417.19     87.198     0.281
3466.89     87.144    -0.209
3517.32     87.069    -0.621
3568.48     86.974    -0.909
3620.39     86.875    -1.025
3673.05     86.784    -0.973
3726.47     86.699    -0.773
3780.67     86.649    -0.477
3835.67     86.638    -0.177
3891.46     86.648     0.078
3948.06     86.674     0.255
4005.49     86.690     0.349
4063.75     86.693     0.408
4122.86     86.696     0.463
4182.82     86.706     0.515
4243.66     86.732     0.531
4305.39     86.764     0.487
4368.01     86.796     0.372
4431.55     86.818     0.187
4496.01     86.823    -0.038
4561.40     86.807    -0.251
4627.75     86.776    -0.411
4695.06     86.743    -0.513
4763.35     86.710    -0.563
4832.64     86.685    -0.563
4902.93     86.659    -0.520
4974.24     86.624    -0.426
5046.60     86.579    -0.244
5120.00     86.527     0.083
5194.47     86.489     0.575
5270.03     86.477     1.197
5346.68     86.518     1.867
5424.45     86.624     2.448
5503.35     86.781     2.805
5583.40     86.954     2.871
5664.61     87.116     2.648
5747.01     87.239     2.204
5830.60     87.327     1.630
5915.41     87.393     0.979
6001.45     87.437     0.288
6088.74     87.470    -0.424
6177.30     87.487    -1.163
6267.15     87.471    -1.895
6358.31     87.415    -2.543
6450.80     87.325    -3.032
6544.62     87.208    -3.296
6639.82     87.090    -3.292
6736.40     87.000    -3.038
6834.38     86.953    -2.616
6933.79     86.955    -2.134
7034.64     87.006    -1.699
7136.96     87.085    -1.389
7240.77     87.176    -1.225
7346.09     87.278    -1.228
7452.94     87.372    -1.382
7561.35     87.463    -1.651
7671.33     87.550    -2.035
7782.91     87.623    -2.518
7896.12     87.685    -3.071
8010.97     87.730    -3.670
8127.49     87.757    -4.285
8245.71     87.767    -4.893
8365.65     87.769    -5.478
8487.33     87.769    -6.040
8610.78     87.768    -6.591
8736.03     87.761    -7.132
8863.09     87.741    -7.644
8992.01     87.709    -8.106
9122.80     87.677    -8.515
9255.50     87.649    -8.877
9390.12     87.637    -9.209
9526.70     87.635    -9.547
9665.27     87.634    -9.910
9805.86     87.635   -10.310
9948.49     87.639   -10.764
10093.2     87.656   -11.308
10240.0     87.680   -11.981
10388.9     87.682   -12.763
10540.1     87.648   -13.600
10693.4     87.565   -14.420
10848.9     87.438   -15.122
11006.7     87.295   -15.629
11166.8     87.151   -15.923
11329.2     87.021   -16.028
11494.0     86.921   -16.013
11661.2     86.842   -15.935
11830.8     86.784   -15.833
12002.9     86.744   -15.762
12177.5     86.704   -15.733
12354.6     86.665   -15.717
12534.3     86.631   -15.717
12716.6     86.598   -15.740
12901.6     86.570   -15.781
13089.2     86.545   -15.835
13279.6     86.514   -15.890
13472.8     86.481   -15.952
13668.8     86.448   -16.017
13867.6     86.424   -16.079
14069.3     86.400   -16.138
14273.9     86.367   -16.185
14481.5     86.335   -16.218
14692.2     86.306   -16.236
14905.9     86.293   -16.247
15122.7     86.291   -16.283
15342.7     86.290   -16.365
15565.8     86.290   -16.497
15792.2     86.290   -16.685
16021.9     86.289   -16.928
16255.0     86.283   -17.224
16491.4     86.263   -17.550
16731.3     86.223   -17.868
16974.7     86.167   -18.142
17221.6     86.096   -18.334
17472.1     86.025   -18.422
17726.2     85.965   -18.427
17984.0     85.921   -18.382
18245.6     85.894   -18.317
18511.0     85.871   -18.243
18780.2     85.842   -18.145
19053.4     85.828   -18.043
19330.5     85.830   -17.960
19611.7     85.854   -17.923
19897.0     85.906   -18.004
20186.4     85.960   -18.259
20480.0     86.006   -18.678
20777.9     86.023   -19.211
21080.1     86.002   -19.788
21386.7     85.943   -20.333
21697.8     85.848   -20.746
22013.4     85.743   -20.951
22333.6     85.642   -20.949
22658.4     85.566   -20.779
22988.0     85.539   -20.530
23322.4     85.564   -20.326
23661.6     85.629   -20.292
24005.8     85.712   -20.510
24355.0     85.785   -20.983
24709.2     85.824   -21.643
25068.6     85.808   -22.390
25433.2     85.737   -23.102
25803.2     85.637   -23.696
26178.5     85.530   -24.131
26559.3     85.424   -24.393
26945.6     85.331   -24.511
27337.5     85.243   -24.524
27735.2     85.168   -24.448
28138.6     85.121   -24.322
28547.9     85.093   -24.183
28963.1     85.083   -24.056
29384.4     85.085   -23.965
29811.8     85.105   -23.943
30245.4     85.156   -24.054
30685.3     85.227   -24.356
31131.7     85.309   -24.890
31584.5     85.376   -25.672
32043.9     85.391   -26.630
32510.0     85.352   -27.648
32982.8     85.261   -28.634
33462.6     85.131   -29.493
33949.3     84.988   -30.177
34443.1     84.844   -30.693
34944.1     84.712   -31.085
35452.4     84.597   -31.415
35968.0     84.482   -31.705
36491.2     84.368   -31.967
37022.0     84.240   -32.205
37560.5     84.103   -32.388
38106.8     83.971   -32.519
38661.1     83.830   -32.582
39223.4     83.715   -32.604
39793.9     83.632   -32.627
