* This data was exported from the Dayton Audio Test System: DATS
*
D    	113	[mm]
Re   	3.793	[Ohms]
Fs   	56.96	[Hz]
Zm   	24.26	[Ohms]
BL   	6.506	[N/A]
Qms  	2.492
Qes  	0.4618
Qts  	0.3896
Vas  	7.66 	[liters]
L10k 	0.185	[mH]
n0   	0.2923	[%]
dBSPL  	86.76	[1W/1m]
Ms   	14.4	[grams]
Cms  	0.542	[mm/N]
*
*
Freq            Impedance       Phase
1722.156    	6.879    	32.509    
1772.619    	6.960    	32.799    
1824.561    	7.033    	33.124    
1878.024    	7.104    	33.497    
1933.055    	7.190    	33.988    
1989.697    	7.289    	34.478    
2048.000    	7.386    	34.874    
2108.011    	7.493    	35.279    
2169.780    	7.601    	35.662    
2233.360    	7.713    	36.031    
2298.802    	7.827    	36.373    
2366.162    	7.947    	36.732    
2435.496    	8.066    	37.059    
2506.862    	8.189    	37.374    
2580.318    	8.316    	37.657    
2655.927    	8.445    	37.943    
2733.752    	8.575    	38.201    
2813.857    	8.708    	38.451    
2896.309    	8.844    	38.685    
2981.178    	8.973    	38.905    
3068.533    	9.112    	39.149    
3158.448    	9.249    	39.376    
3250.997    	9.391    	39.597    
3346.259    	9.537    	39.824    
3444.312    	9.682    	40.016    
3545.238    	9.833    	40.230    
3649.121    	9.992    	40.443    
3756.049    	10.151    	40.631    
3866.109    	10.314    	40.790    
3979.395    	10.482    	40.936    
4096.000    	10.637    	41.039    
4216.022    	10.803    	41.212    
4339.561    	10.978    	41.346    
4466.720    	11.148    	41.477    
4597.605    	11.319    	41.600    
4732.325    	11.500    	41.734    
4870.992    	11.687    	41.860    
5013.723    	11.881    	41.977    
5160.637    	12.086    	42.050    
5311.855    	12.314    	42.073    
5467.504    	12.551    	41.861    
5627.714    	12.743    	41.396    
5792.619    	12.831    	40.826    
5962.355    	12.802    	40.846    
6137.066    	12.877    	41.480    
6316.896    	13.053    	42.026    
6501.995    	13.253    	42.439    
6692.518    	13.473    	42.751    
6888.623    	13.697    	42.978    
7090.476    	13.919    	43.141    
7298.242    	14.143    	43.334    
7512.097    	14.380    	43.451    
7732.218    	14.608    	43.518    
7958.790    	14.830    	43.590    
8192.000    	15.050    	43.691    
8432.044    	15.277    	43.805    
8679.122    	15.509    	43.935    
8933.439    	15.750    	44.033    
9195.209    	15.995    	44.116    
9464.649    	16.239    	44.191    
9741.985    	16.474    	44.242    
10027.447    	16.713    	44.313    
10321.273    	16.962    	44.408    
10623.710    	17.216    	44.504    
10935.008    	17.473    	44.576    
11255.428    	17.734    	44.638    
11585.238    	17.996    	44.709    
11924.711    	18.253    	44.771    
12274.132    	18.531    	44.846    
12633.791    	18.787    	44.876    
13003.989    	19.054    	44.998    
13385.035    	19.332    	45.071    
13777.247    	19.608    	45.153    
14180.951    	19.886    	45.228    
14596.485    	20.167    	45.322    
15024.194    	20.453    	45.412    
15464.437    	20.744    	45.513    
15917.579    	21.040    	45.601    
16384.000    	21.344    	45.697    
16864.088    	21.639    	45.788    
17358.243    	21.943    	45.898    
17866.879    	22.239    	46.017    
18390.418    	22.535    	46.137    
18929.299    	22.820    	46.267    
19483.969    	23.111    	46.409    
20054.893    	23.395    	46.595    
20642.546    	23.660    	46.807    
