Freq[Hz]     dBSPL  Phase[Deg]
958.917     90.787    11.996
972.864     90.829    11.378
987.015     90.856    10.737
1001.37     90.863    10.090
1015.94     90.850     9.477
1030.71     90.822     8.930
1045.71     90.783     8.474
1060.92     90.743     8.110
1076.35     90.708     7.806
1092.00     90.679     7.524
1107.89     90.653     7.229
1124.00     90.625     6.899
1140.35     90.583     6.547
1156.94     90.521     6.234
1173.77     90.444     6.020
1190.84     90.357     5.948
1208.16     90.271     6.051
1225.73     90.207     6.282
1243.56     90.165     6.566
1261.65     90.142     6.854
1280.00     90.134     7.104
1298.62     90.132     7.309
1317.51     90.132     7.480
1336.67     90.132     7.629
1356.11     90.132     7.769
1375.84     90.132     7.907
1395.85     90.132     8.048
1416.15     90.132     8.198
1436.75     90.132     8.364
1457.65     90.132     8.553
1478.85     90.132     8.777
1500.36     90.133     9.055
1522.19     90.140     9.404
1544.33     90.160     9.831
1566.79     90.203    10.313
1589.58     90.277    10.797
1612.70     90.387    11.193
1636.16     90.526    11.408
1659.95     90.680    11.369
1684.10     90.827    11.051
1708.60     90.948    10.505
1733.45     91.034     9.817
1758.66     91.084     9.074
1784.24     91.100     8.354
1810.19     91.088     7.713
1836.52     91.052     7.203
1863.24     91.000     6.875
1890.34     90.945     6.760
1917.83     90.904     6.850
1945.73     90.896     7.082
1974.03     90.927     7.352
2002.74     90.998     7.548
2031.87     91.097     7.573
2061.43     91.206     7.377
2091.41     91.307     6.976
2121.83     91.392     6.409
2152.69     91.457     5.727
2184.01     91.500     4.978
2215.77     91.528     4.183
2248.00     91.540     3.321
2280.70     91.526     2.386
2313.87     91.472     1.434
2347.53     91.368     0.582
2381.68     91.220    -0.032
2416.32     91.042    -0.280
2451.46     90.868    -0.111
2487.12     90.731     0.418
2523.30     90.654     1.167
2560.00     90.645     1.957
2597.24     90.692     2.631
2635.01     90.779     3.083
2673.34     90.882     3.264
2712.23     90.978     3.200
2751.68     91.058     2.960
2791.70     91.119     2.611
2832.31     91.161     2.208
2873.50     91.190     1.777
2915.30     91.209     1.321
2957.70     91.216     0.835
3000.72     91.200     0.352
3044.37     91.163    -0.061
3088.65     91.113    -0.354
3133.58     91.061    -0.508
3179.16     91.020    -0.538
3225.40     91.000    -0.506
3272.31     90.997    -0.481
3319.91     91.006    -0.502
3368.20     91.019    -0.577
3417.19     91.034    -0.698
3466.89     91.048    -0.861
3517.32     91.062    -1.067
3568.48     91.073    -1.320
3620.39     91.078    -1.618
3673.05     91.071    -1.938
3726.47     91.050    -2.239
3780.67     91.021    -2.489
3835.67     90.988    -2.675
3891.46     90.957    -2.797
3948.06     90.934    -2.881
4005.49     90.918    -2.961
4063.75     90.906    -3.050
4122.86     90.895    -3.149
4182.82     90.884    -3.255
4243.66     90.873    -3.364
4305.39     90.863    -3.474
4368.01     90.852    -3.584
4431.55     90.841    -3.694
4496.01     90.830    -3.804
4561.40     90.819    -3.913
4627.75     90.808    -4.021
4695.06     90.797    -4.129
4763.35     90.786    -4.235
