* This data was exported from the Dayton Audio Test System: DATS
*
D    	29	[mm]
Re   	4.595	[Ohms]
Fs   	3035	[Hz]
Zm   	6.955	[Ohms]
BL   	0	[N/A]
Qms  	1.338
Qes  	2.605
Qts  	0.884
Vas  	0 	[liters]
L10k 	0.05424	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
8679.122    	6.339    	28.141    
8933.439    	6.411    	28.800    
9195.209    	6.488    	29.432    
9464.649    	6.572    	30.045    
9741.985    	6.668    	30.483    
10027.447    	6.737    	30.655    
10321.273    	6.759    	31.126    
10623.710    	6.808    	31.966    
10935.008    	6.891    	32.763    
11255.428    	6.979    	33.448    
11585.238    	7.069    	34.085    
11924.711    	7.164    	34.678    
12274.132    	7.262    	35.268    
12633.791    	7.361    	35.844    
13003.989    	7.461    	36.399    
13385.035    	7.565    	36.920    
13777.247    	7.672    	37.474    
14180.951    	7.780    	38.003    
14596.485    	7.892    	38.496    
15024.194    	8.006    	38.989    
15464.437    	8.124    	39.490    
15917.579    	8.243    	39.990    
16384.000    	8.366    	40.508    
16864.088    	8.497    	41.022    
17358.243    	8.631    	41.486    
17866.879    	8.770    	41.952    
18390.418    	8.908    	42.405    
18929.299    	9.050    	42.855    
19483.969    	9.197    	43.319    
20054.893    	9.363    	43.794    
20642.546    	9.539    	44.295    
