Freq[Hz]     dBSPL  Phase[Deg]
7346.09     88.357   -64.059
7452.94     88.303   -62.996
7561.35     88.295   -61.978
7671.33     88.340   -61.034
7782.91     88.506   -60.279
7896.12     88.814   -60.015
8010.97     89.203   -60.515
8127.49     89.612   -61.873
8245.71     89.998   -64.091
8365.65     90.299   -67.071
8487.33     90.432   -70.502
8610.78     90.416   -74.116
8736.03     90.242   -77.700
8863.09     89.930   -81.021
8992.01     89.578   -83.929
9122.80     89.208   -86.453
9255.50     88.850   -88.648
9390.12     88.478   -90.567
9526.70     88.072   -92.204
9665.27     87.643   -93.573
9805.86     87.184   -94.655
9948.49     86.725   -95.354
10093.2     86.292   -95.676
10240.0     85.839   -95.608
10388.9     85.404   -95.116
10540.1     85.008   -94.199
10693.4     84.698   -92.909
10848.9     84.495   -91.439
11006.7     84.377   -89.951
11166.8     84.361   -88.602
11329.2     84.421   -87.548
11494.0     84.529   -86.852
11661.2     84.678   -86.552
11830.8     84.839   -86.661
12002.9     85.029   -87.199
12177.5     85.220   -88.197
12354.6     85.401   -89.615
12534.3     85.549   -91.427
12716.6     85.646   -93.592
12901.6     85.676   -96.020
13089.2     85.668   -98.662
13279.6     85.602  -101.475
13472.8     85.466  -104.358
13668.8     85.249  -107.212
13867.6     84.932  -109.925
14069.3     84.531  -112.358
14273.9     84.099  -114.445
14481.5     83.653  -116.146
14692.2     83.211  -117.447
14905.9     82.768  -118.390
15122.7     82.356  -119.083
15342.7     82.005  -119.670
15565.8     81.716  -120.280
15792.2     81.460  -121.005
16021.9     81.166  -121.883
16255.0     80.792  -122.774
16491.4     80.357  -123.488
16731.3     79.913  -123.946
16974.7     79.443  -124.071
17221.6     79.001  -123.820
17472.1     78.581  -123.242
17726.2     78.154  -122.282
17984.0     77.777  -120.915
18245.6     77.495  -119.298
18511.0     77.336  -117.655
18780.2     77.334  -116.314
19053.4     77.426  -115.572
19330.5     77.523  -115.489
19611.7     77.549  -115.925
19897.0     77.492  -116.675
20186.4     77.350  -117.530
20480.0     77.161  -118.323
20777.9     76.964  -118.989
21080.1     76.766  -119.545
21386.7     76.568  -120.020
21697.8     76.370  -120.447
22013.4     76.172  -120.841
22333.6     75.974  -121.212
22658.4     75.776  -121.564
22988.0     75.578  -121.901
23322.4     75.380  -122.225
23661.6     75.182  -122.539
24005.8     74.984  -122.844
24355.0     74.786  -123.141
24709.2     74.588  -123.431
25068.6     74.389  -123.714
25433.2     74.191  -123.991
25803.2     73.993  -124.263
26178.5     73.795  -124.529
26559.3     73.597  -124.790
26945.6     73.399  -125.046
27337.5     73.201  -125.299
27735.2     73.003  -125.547
28138.6     72.805  -125.791
28547.9     72.607  -126.030
28963.1     72.409  -126.266
29384.4     72.211  -126.498
29811.8     72.013  -126.727
30245.4     71.815  -126.952
30685.3     71.617  -127.174
31131.7     71.418  -127.392
31584.5     71.220  -127.608
32043.9     71.022  -127.820
32510.0     70.824  -128.029
32982.8     70.626  -128.235
33462.6     70.428  -128.438
33949.3     70.230  -128.638
34443.1     70.032  -128.836
34944.1     69.834  -129.030
35452.4     69.636  -129.223
35968.0     69.438  -129.412
36491.2     69.240  -129.599
37022.0     69.042  -129.784
37560.5     68.844  -129.971
38106.8     68.648  -130.141
38661.1     68.461  -130.303
39223.4     68.319  -130.428
39793.9     68.222  -130.525
