Freq[Hz]     dBSPL  Phase[Deg]
1636.16     87.127    -1.750
1659.95     87.296    -2.349
1684.10     87.437    -3.200
1708.60     87.544    -4.247
1733.45     87.619    -5.479
1758.66     87.636    -6.840
1784.24     87.596    -8.218
1810.19     87.486    -9.483
1836.52     87.310   -10.433
1863.24     87.109   -10.954
1890.34     86.907   -11.055
1917.83     86.725   -10.769
1945.73     86.599   -10.222
1974.03     86.521    -9.563
2002.74     86.494    -8.886
2031.87     86.514    -8.306
2061.43     86.566    -7.913
2091.41     86.630    -7.736
2121.83     86.693    -7.767
2152.69     86.745    -7.985
2184.01     86.770    -8.330
2215.77     86.769    -8.720
2248.00     86.740    -9.091
2280.70     86.685    -9.362
2313.87     86.621    -9.487
2347.53     86.557    -9.468
2381.68     86.503    -9.318
2416.32     86.472    -9.093
2451.46     86.459    -8.865
2487.12     86.460    -8.664
2523.30     86.470    -8.499
2560.00     86.493    -8.397
2597.24     86.523    -8.399
2635.01     86.548    -8.514
2673.34     86.559    -8.725
2712.23     86.544    -8.979
2751.68     86.497    -9.171
2791.70     86.430    -9.205
2832.31     86.354    -9.025
2873.50     86.292    -8.606
2915.30     86.267    -8.020
2957.70     86.289    -7.388
3000.72     86.356    -6.838
3044.37     86.460    -6.497
3088.65     86.568    -6.419
3133.58     86.662    -6.563
3179.16     86.729    -6.839
3225.40     86.766    -7.145
3272.31     86.783    -7.404
3319.91     86.788    -7.572
3368.20     86.792    -7.639
3417.19     86.801    -7.607
3466.89     86.828    -7.501
3517.32     86.879    -7.385
3568.48     86.953    -7.328
3620.39     87.045    -7.397
3673.05     87.141    -7.625
3726.47     87.230    -7.997
3780.67     87.307    -8.486
3835.67     87.364    -9.048
3891.46     87.405    -9.633
3948.06     87.434   -10.223
4005.49     87.450   -10.801
4063.75     87.456   -11.345
4122.86     87.458   -11.855
4182.82     87.458   -12.340
4243.66     87.458   -12.819
4305.39     87.454   -13.305
4368.01     87.445   -13.803
4431.55     87.423   -14.290
4496.01     87.389   -14.726
4561.40     87.351   -15.100
4627.75     87.305   -15.394
4695.06     87.257   -15.577
4763.35     87.221   -15.665
4832.64     87.195   -15.690
4902.93     87.184   -15.670
4974.24     87.189   -15.639
5046.60     87.208   -15.632
5120.00     87.235   -15.657
5194.47     87.267   -15.698
5270.03     87.309   -15.743
5346.68     87.371   -15.827
5424.45     87.447   -16.003
5503.35     87.536   -16.312
5583.40     87.626   -16.794
5664.61     87.697   -17.426
5747.01     87.748   -18.135
5830.60     87.778   -18.867
5915.41     87.788   -19.566
6001.45     87.793   -20.208
6088.74     87.793   -20.803
6177.30     87.793   -21.359
6267.15     87.793   -21.883
6358.31     87.795   -22.374
6450.80     87.801   -22.837
6544.62     87.817   -23.289
6639.82     87.844   -23.767
6736.40     87.876   -24.294
6834.38     87.912   -24.874
6933.79     87.949   -25.508
7034.64     87.988   -26.200
7136.96     88.026   -26.960
7240.77     88.060   -27.786
7346.09     88.092   -28.679
7452.94     88.114   -29.640
7561.35     88.123   -30.625
7671.33     88.131   -31.618
7782.91     88.141   -32.638
7896.12     88.164   -33.747
8010.97     88.192   -35.044
8127.49     88.208   -36.582
8245.71     88.194   -38.378
8365.65     88.122   -40.377
8487.33     87.976   -42.439
8610.78     87.752   -44.416
8736.03     87.445   -46.139
8863.09     87.067   -47.439
8992.01     86.626   -48.143
9122.80     86.150   -48.075
9255.50     85.686   -47.167
9390.12     85.288   -45.480
9526.70     85.014   -43.220
9665.27     84.900   -40.728
9805.86     84.940   -38.359
9948.49     85.103   -36.412
10093.2     85.333   -35.048
10240.0     85.586   -34.283
10388.9     85.827   -34.043
10540.1     86.035   -34.190
10693.4     86.206   -34.578
10848.9     86.342   -35.092
11006.7     86.451   -35.649
11166.8     86.534   -36.171
11329.2     86.605   -36.588
11494.0     86.686   -36.881
11661.2     86.797   -37.094
11830.8     86.956   -37.350
12002.9     87.163   -37.822
12177.5     87.389   -38.627
12354.6     87.621   -39.820
12534.3     87.830   -41.404
12716.6     87.995   -43.293
12901.6     88.118   -45.406
13089.2     88.190   -47.686
13279.6     88.203   -50.053
13472.8     88.153   -52.389
13668.8     88.048   -54.594
13867.6     87.897   -56.597
14069.3     87.704   -58.322
14273.9     87.493   -59.731
14481.5     87.272   -60.824
14692.2     87.053   -61.603
14905.9     86.852   -62.104
15122.7     86.669   -62.351
15342.7     86.527   -62.400
15565.8     86.421   -62.335
15792.2     86.350   -62.208
16021.9     86.310   -62.053
16255.0     86.294   -61.877
16491.4     86.295   -61.640
16731.3     86.321   -61.269
16974.7     86.400   -60.737
17221.6     86.562   -60.125
17472.1     86.831   -59.611
17726.2     87.214   -59.448
17984.0     87.693   -59.921
18245.6     88.219   -61.229
18511.0     88.748   -63.461
18780.2     89.237   -66.623
19053.4     89.640   -70.601
19330.5     89.935   -75.179
19611.7     90.120   -80.167
19897.0     90.188   -85.389
20186.4     90.145   -90.669
20480.0     90.006   -95.893
20777.9     89.777  -101.005
21080.1     89.463  -105.957
21386.7     89.058  -110.653
21697.8     88.575  -114.992
22013.4     88.022  -118.912
22333.6     87.401  -122.327
22658.4     86.741  -125.188
22988.0     86.055  -127.513
23322.4     85.346  -129.277
23661.6     84.632  -130.453
24005.8     83.914  -130.993
24355.0     83.217  -130.839
24709.2     82.582  -130.037
25068.6     82.041  -128.728
25433.2     81.631  -127.149
25803.2     81.358  -125.603
26178.5     81.194  -124.330
26559.3     81.101  -123.456
26945.6     81.042  -122.997
27337.5     80.993  -122.897
27735.2     80.938  -123.057
28138.6     80.882  -123.385
28547.9     80.839  -123.884
28963.1     80.803  -124.587
29384.4     80.777  -125.528
29811.8     80.755  -126.778
30245.4     80.710  -128.356
30685.3     80.627  -130.207
31131.7     80.490  -132.238
31584.5     80.294  -134.332
32043.9     80.041  -136.369
