* This data was exported from the Dayton Audio Test System: DATS
*
D    	34	[mm]
Re   	3.11	[Ohms]
Fs   	763.8	[Hz]
Zm   	7.944	[Ohms]
BL   	0	[N/A]
Qms  	3.709
Qes  	2.386
Qts  	1.452
Vas  	0 	[liters]
L10k 	0.006894	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
1579.224    	3.427    	-8.470    
1625.499    	3.417    	-7.818    
1673.129    	3.412    	-7.257    
1722.156    	3.410    	-6.700    
1772.619    	3.403    	-6.195    
1824.561    	3.403    	-5.682    
1878.024    	3.404    	-5.207    
1933.055    	3.404    	-4.780    
1989.697    	3.407    	-4.298    
2048.000    	3.408    	-3.924    
2108.011    	3.408    	-3.517    
2169.780    	3.412    	-3.145    
2233.360    	3.414    	-2.827    
2298.802    	3.416    	-2.482    
2366.162    	3.423    	-2.170    
2435.496    	3.427    	-1.844    
2506.862    	3.430    	-1.525    
2580.318    	3.434    	-1.252    
2655.927    	3.438    	-0.994    
2733.752    	3.443    	-0.743    
2813.857    	3.447    	-0.510    
2896.309    	3.453    	-0.306    
2981.178    	3.456    	-0.039    
3068.533    	3.462    	0.172    
3158.448    	3.468    	0.381    
3250.997    	3.474    	0.631    
3346.259    	3.479    	0.810    
3444.312    	3.483    	0.992    
3545.238    	3.485    	1.189    
3649.121    	3.490    	1.340    
3756.049    	3.495    	1.547    
3866.109    	3.500    	1.741    
3979.395    	3.505    	1.960    
4096.000    	3.508    	2.155    
4216.022    	3.515    	2.334    
4339.561    	3.520    	2.534    
4466.720    	3.526    	2.692    
4597.605    	3.532    	2.845    
4732.325    	3.535    	3.033    
4870.992    	3.541    	3.197    
5013.723    	3.546    	3.378    
5160.637    	3.552    	3.516    
5311.855    	3.558    	3.703    
5467.504    	3.566    	3.900    
5627.714    	3.572    	4.033    
5792.619    	3.580    	4.201    
5962.355    	3.586    	4.359    
6137.066    	3.593    	4.480    
6316.896    	3.600    	4.644    
6501.995    	3.604    	4.760    
6692.518    	3.612    	4.879    
6888.623    	3.613    	5.083    
7090.476    	3.618    	5.233    
7298.242    	3.626    	5.406    
7512.097    	3.632    	5.558    
7732.218    	3.636    	5.741    
7958.790    	3.643    	5.926    
8192.000    	3.652    	6.052    
8432.044    	3.657    	6.233    
8679.122    	3.665    	6.402    
8933.439    	3.671    	6.589    
9195.209    	3.677    	6.765    
9464.649    	3.684    	6.912    
9741.985    	3.691    	7.050    
10027.447    	3.699    	7.193    
10321.273    	3.707    	7.395    
10623.710    	3.714    	7.542    
10935.008    	3.719    	7.725    
11255.428    	3.727    	7.899    
11585.238    	3.735    	8.082    
11924.711    	3.744    	8.257    
12274.132    	3.751    	8.421    
12633.791    	3.760    	8.592    
13003.989    	3.769    	8.790    
13385.035    	3.778    	8.936    
13777.247    	3.787    	9.166    
14180.951    	3.798    	9.333    
14596.485    	3.806    	9.488    
15024.194    	3.816    	9.670    
15464.437    	3.825    	9.790    
15917.579    	3.832    	9.982    
16384.000    	3.837    	10.120    
16864.088    	3.844    	10.255    
17358.243    	3.848    	10.453    
17866.879    	3.851    	10.684    
18390.418    	3.858    	10.904    
18929.299    	3.862    	11.164    
19483.969    	3.870    	11.377    
20054.893    	3.881    	11.648    
20642.546    	3.896    	11.911    
